name,address,typeOfFood,information
IHOP,Fisherman's Wharf,Pancakes,Outdoor seating
KFC,Mission,Chicken Wings,Delivery
Cantoo Latin Asian Rotisserie,$$,Chinese,Outdoor seating
Dumpling Baby China Bistro,Inner Richmond,Chinese,Offers Delivery
C.Q. Noodles,$$,Chinese,Waitlist is closed
Dumpling Story,Pacific Heights,Asian Fusion,Opened 7 weeks ago
Farmhouse Kitchen Thai Cuisine,$$,Thai,Offers Delivery
Pasha Sf,Tenderloin,Mediterranean,Opened 6 weeks ago
Kung Food,$$,Chinese,Outdoor seating
Changâ€™s Kitchen,$$,Chinese,Outdoor seating
House of Thai,$$,Thai,Outdoor seating
Ginto Express,SoMa,Japanese Curry,Offers Delivery
Starbucks,Civic Center,Breakfast & Brunch,Delivery
